letter of the alphabet	ï»¿aabaa
boiled vegetables	fudiraa affeellii
canned vegetables	fudiraa qorqoorroo
connection	fufaa
logic connection	fufaa loojikaa
extension	fufaatii
infinite extension	fufaatii dhuma-dhablee
connected	fufamaa
affix	fufamtuu
connecting	fufii
connecting rod	fufii siiqqee
connecting tube	fufii tubboo
cable	fufoo
hyphen	fuftoo
connector	fuftuu
to join together	fufuu
a kind of swimming with top down and bottom up	fuggiffoo
reciprocal	fuggisee
contrary to the normal procedure or the natural order	fuggisoo
person born with the legs first	fugguu
people	fuguga
September	Fulbaana
hint	fulchoo
to hint	fulchuu
emergency exit	fulee
lasting	fulla'aa
penetration	fullaafama
one who penetrates	fullaasaa
to penetrate	fullaasuu
diameter	fullata
glass	fullee
watching glass	fullee doow'annaa
magnifying glass	fullee guguddiftuu
coral	fulukkee
scavenger	funaantuu
to scavenge	funaanuu
code	fungoo
code extension	fungoo fufaatii
nose bleeding	funuuna
to bleed	funuunuu
nose	funyaan
bumper	funyaan makiinaa
nasal	funyaanee
rope	funyoo
rubber band	funyoo laastikii
wire rope	funyoo shaabbee
chain	funyoo sibiilaa
clothes-line	funyoo uffataa
dictionary	furaa
dictionary of foreign words	furaa jechayyaalee alagaa
relief	furaansa
thickness	furdina
obesity	furdina garmalee
screwdiver	furee
cabinet screwdriver	furee diriirtuu
right-angle screwdriver	furee hookkoo
electrical screwdriver	furee korreentii
Phillips screwdriver	furee naannee
swelling	furfura
pulmonary edema	furfura sombaa
things that causes to swell	furfursaa
to swell	furfuu
projector	furgaaftuu
cannonade	furgaasa marfii
slip-knot	furgaasaa
car	furgoo
rocket	furguggaatuu
wooden missile	furguggee
scud	furgugsa
hammer throw	furgugsa burruusaa
whistle	furiyyoo
rubbish	furjee
mishmash	furjee-gurjee
solution	furmaata
algebraic solution	furmaata aljeebiraa
urgent solution	furmaata ariifachiisaa
solution of a triangle	furmaata rogsadee
lasting solution	furmaata waaraa
loaf	furnoo
code	furoo
missilery	furrifamaa
American missiles	furrifamaa Amerikaa
guided missile	furrifamaa qajeelaa
Soviet missiles	furrifamaa Soviyeetii
rocket	furrifamtuu
air-rocket	furrifamtuu qilleensaa
crossbow	furriftoo
centrifugal machine	furriftuu
mucus	furrii
sling	furrisa
catapult	furrisaa
catapult launcher	furrisiisaa
to sling	furrisuu
a kind of horse disease	furroo
key	furtuu
cotton fruit	futaa
to appear	futisuu
arrow and bow	futtaasee
marriage	fuudha
exogamy	fuudha diidaa
monogamy	fuudha-tokkee
marriage	fuudhaa-heeruma
face	fuula
windward	fuula bubbee
lateral face	fuula cinaachaa
main menu	fuula durtii
cross-section	fuula qaxxaamuraa
to advance	fuulawuu
mirror	fuuldoyyaa
page	fuulee
focus	fuuleffannoo
hexahedron	fuuljayee
terrain	fuullafaa
double-faced	fuullamee
across from opposite	fuullee
focus	fuulleffannoo
diaphragm	fuullessifaa
headstall	fuuloo
three-dimensional	fuulsadee
chain	fuunca
gold chain	fuunca sabbuu
food chain	fuunca soorataa
incisors	fuunduree
to smell	fuunfachuu
smelling	fuunfannaa
smell	fuunfata
smeller	fuunfataa
smell	fuunfii
to be warm	fuuruu
hand over	fuutoo
meat soup	fuuttoo
enough	ga'aa
share	ga'ee
a competent person	ga'oo
adequacy	ga'ummaa
regret	gaabbii
situation that forces somebody to regret	gaabbisiisaa
one who regrets	gaabbituu
to regret	gaabbuu
shield	gaachana
protector	gaachanee
protection	gaachanoo
radiation shielding	gaachanoo madanaa
shield maker	gaachantuu
to make shields	gaachanuu
person who hires an agent to spy on somebody	gaachisaa
photocopy	gaaddiddee
material to be copied	gaaddiddeeffamaa
photocopier	gaaddiddeessaa
to copy	gaaddiddeessuu
shadow	gaaddidduu
shelter	gaaddifata
boathouse	gaaddifata yabaloo
homeless	gaaddifata-dhablee
shed	gaaddisa
rain shadow	gaaddisa bokkaa
robbery	gaaddummaa
robber	gaadduu
pirate	gaadduu galaanaa
canine tooth	gaadee
espionage	gaadumsa
to hunt	gaaduu
market day	gaafa gabaa
short horn	gaafa gabaabaa
on Friday	gaafa Jimaataa
antenna	gaafa raadiyoo
horn	gaafa1
day	gaafa2
to ask	gaafachuu
asking	gaafannaa
visit to a sick person	gaafannaa dhukkubsataa
demand	gaafannoo
demand and supply	gaafannoo fi dhiyeessii
one who demands	gaafataa
responsibility	gaafatama
responsible	gaafatamaa
question mark	gaafateessa
brackets	gaafee
question	gaafii
burning question	gaafii cimtuu
women's question	gaafii dubartii
question and revision	gaafii irradeebii
cross-examination	gaafii maltee
decisive question	gaafii murteessaa
national question	gaafii sabaa
questionnaire	gaafilee
of two days	gaaflamee
accident	gaaga'ama
hive	gaagura
beehive	gaagura dammaa
to make hive or beehive	gaagura dhawuu
hive or beehive maker	gaagura dhooftuu
to keep bees	gaagura hidhuu
hive	gaagura midhaanii
bee-keeper	gaagurtuu
camel	gaala
prostitute	gaalamoota
prostitution	gaalamootummaa
tendency	gaalcha
tendril	gaalee
adult or mature person	gaaltama
mature girl	gaaltamee
adulthood	gaaltamummaa
to grow up	gaaltamuu
development	gaamara
heat	gaana
a large black ant	gaanduleessa
very clever	gaanfuree
mule	gaangee
a large jar for brewing beer or mead	gaanii
heart chamber	gaanii onnee
tank	gaanoo
rock	gaantii
mountain	gaara
volcanic mountain	gaara burkaanaa
all over the country	gaara daka
dome mountain	gaara leekkoo
from all over the country	gaaraa dakaa
relic mountain	gaarambee
chameleon	gaararraa
mountainous	gaarawaa
lover	gaarayyuu
campaign	gaarfata
sea mountain	gaargarbaa
handbarrow	gaarigaa
boxcar	gaarigaa baaburaa
cart	gaarii
squirrel	gaarisa
confrontation	gaarreffannoo
chain of mountains	gaarreyyii
orogenesis	gaartolcha
kerosene	gaasadii
mixed	gaasharee
mixer	gaashartuu
marsh gas	gaasifaa
gas	gaasii
nerve gas	gaasii aarsituu
waste gas	gaasii baraaxii
water gas	gaasii bishaanii
tear gas	gaasii boochisaa
blister gas	gaasii dhubbaa
real gas	gaasii dhugee
inert gas	gaasii luujee
gas mixture	gaasii makaa
poison gas	gaasii summii
natural gas	gaasii uummaa
cedar	gaattiraa
pine	gaattiraa Faranjii
matrimony	gaayila
diamond wedding	gaayila diggaa
minute	gaayoo
dogtooth pea	gaayyoo
same as galaalcha	gaazexaa
journalist	gaazexxuu
1) market	gabaa
foreign market	gabaa alaa
local market	gabaa biyya keessaa
world market	gabaa biyyalafaa
black market	gabaa dhoksaa
labour market	gabaa hojii
cattle-market	gabaa loonii
money market	gabaa maallaqaa
market in a town	gabaa magaalaa
commodity market	gabaa shaqaxaa
free market	gabaa walaabaa
common market	gabaa walee
abbreviation	gabaabbii
pygmy	gabaabiyyee
to shorten	gabaabsuu
report	gabaasa
bazaar	gabadiriiraa
personal affairs	gabanaa
board	gabatoo
notice-board	gabatoo beeksisaa
blackboard	gabatoo gurraacha
hospital report	gabbaasa mana fayyaa
white paper	gabbaasa mootummaa
reporter	gabbaasaa
1) tribute	gabbara
serf	gabbaraa
serfdom	gabbarummaa
to pay tax	gabbaruu
fat	gabbataa
feeder	gabbiftuu
cabin of a car	gabbiinaa
cockpit	gabbiinaa balali'aa
fatness	gabbina
cell fertilisation	gabbina miciree
fattening	gabbisaa
to fatten	gabbisuu
slave	gabra
a male slave	gabrich
slave dealer	gabroomfataa
to enslave	gabroomsuu
slavery	gabrummaa
wage slavery	gabrummaa mindaa
decrease	gaccabsa
to decrease	gaccabsuu
Oromo social system in which the Oromo organised their economic	gadaa
foetus	gadaacha
inferior	gadaantee
minimisation	gadaantessa
one who minimises	gadaantessaa
to minimise	gadaantessuu
minimum	gadaantoo
lower	gadaanuu
agony	gadadoo
to agonise	gadadoomsuu
those who abandoned to perform the buttaa ceremony	gadagattee
womb	gadameessa
greater koodoo	gadamsa
walya ibex	gadamsa baddaa
to take out	gadbaasuu
curfew	gadbaataa
fall	gadbu'iisa
fall in prices	gadbu'iisa gatii
danger	gaddaafa
to degenerate	gaddeebi'uu
degeneration	gaddeebii
degradation	gaddeebisoo
ordinary	gadeessaa
depth	gadfageenya
socially degraded person	gadigaloo
inferiority	gadigalooma
to lower	gadiiqsuu
revenge	gadoo
barbaric	gadooyyee
auction	gadqabaa
1)compress	gadqabbii
suppresser	gadqabduu
filter press	gadqabduu calaltuu
compression	gadqabiinsa
to suppress	gadqabuu
deduction	gadxiinxala
fodder	gafara
fodder crop	gafara horii
buffalo	gafarsa
estuary	gafasha
dry land	gaffaa
mainland	gaffoo
weak	gafiifa
gross income	gaftoo
careless person	gafuu
bee wax	gagaa
to ask repeatedly	gaggaafachuu
inquiry	gaggaafannaa
interview	gaggaafannoo
newspaper interview	gaggaafannoo gaazexaa
radio interview	gaggaafannoo raadiyoo
television interview	gaggaafannoo telebiishinaa
interviewer	gaggaafataa
interviewee	gaggaafatamaa
fainting	gaggaba
faint	gaggabbii
epilepsy	gaggabdoo
anaesthetic	gaggabsaa
to faint	gaggabuu
to see off	gaggeessa
leader	gaggeessaa
intruder	galaa
provisions for a journey	galaa1
to assassinate	galaafachuu
assassin	galaafataa
assassination	galaafatama
qualification	galaalama
qualified	galaalammee
to be qualified	galaalamuu
newspaper	galaalchaa
back issue	galaalchaa dabre
a daily newspaper	galaalchaa guyyaa
comic paper	galaalchaa hallasee
a weekly newspaper	galaalchaa torbanii
journalist	galaalchituu
flood	galaana
bran	galabaa
catalogue	galalee
gratitude	galata
to thank	galata galchuu
gift	galcha
special delivery	galchaa addayyaa
goal	galchii
person who presents a gift	galchituu
bring something in	galchuu
directory	galeeloo
lock	galfurtuu
income	galii
net income	galii culkee
real income	galii dhugee
income and expenditure	galii fi baasii
per capita	galii mataa
national income	galii sabaa
return	galiisa
sheath	galkaa
attachÃ© case	galkaa attaashee
bookcase	galkaa barroo
holster	galkaa shugguxii
mouth of a river	gallagaa
resignation	gallakkisa
to resign	gallakkisuu
traditional Oromo temple	galma
hall	galmaayaa
gallery	galmaayaa faayataa
market-hall	galmaayaa gabaa
city hall	galmaayaa magaalaa
music halls	galmaayaa sirbaa
archive	galmee
master file	galmee dhimmandaa
sporangium	galmee dhukkee
instruction register	galmee dursoo
picture-book	galmee fakkoo
to create new files	galmee haaraa uumuu
breeding record	galmee horii
lexicon	galmee jechootaa
to save files	galmee kaayuu
movable file	galmee marmaartuu
pericardium	galmee onnee
historical record	galmee seenaa
shift register	galmee sochootuu
stamp album	galmee tambeeraa
address register	galmee teessoo
control register	galmee towannoo
enrolment	galmeeffama
registration	galmeessa
sensory register	galmeessa miiraa
recorder	galmeessaa
to book	galmeessuu
flood	galoo
destination	galtaa
nun	galtamaa
a place where running water has deepened the earth	galtoo
a gift of gratitude	galtoo
people assimilated by another ethnic group	galtuu
mane	gama
evaluation	gamaaggama
bootleg	gambaallee
militant	gameessa
divergent	gamgamee
divergence	gamgamummaa
two-sided	gamlamee
charming	gammachiisaa
department store	gammoo
bookshop	gammoo barroolee
furniture store	gammoo meeshaa manaa
grocer's shop	gammoo soorataa
tropical	gammoojjawaa
low	gammoojjii
desert	gammoojjii hoo'aa
dweller of tropical region	gammoojjilee
tobacco	gamshaa
social	gamtaa
international community	gamtaa addunyaalessaa
society	gamtaa uummataa
communal society	gamtaa wajjummaa
socialised	gamtaawaa
society	gamtasabaa
socialisation	gamteessa
organiser	gamteessaa
socialisation	gamteessummaa
to organise	gamteessuu
mutualism	gamtooma
mutual	gamtoomaa
socialism	gamtummaa
liquid dough	ganaana
village	ganda
quarter	ganda magaalaa
densely populated village	ganda walxaxaa
a small village	gandattii
trypanosomiasis	gandii
villager	gandooyyee
small intestine	gangoo
denial	ganiisa
presents (in form of land) to the offspring of daughters	ganjiitii
rainy season	ganna
Christmas	gannoo
credit	ganshoo
treason	gantii
collaborator	gantooyyee
collaboration	gantooyyummaa
treachery	gantummaa
traitor	gantuu
national traitor	gantuu sabaa
renegade of a revolution	gantuu warraaqsaa
to deny	ganuu
compressibility	gaqabbummaa
half	gar-
patient	gara-baldheessa
hard hearted	gara-dhabeessa
vacillation	gara-hiriinsa
hard hearted	gara-jabeessa
diarrhoea	gara-kaasaa
determination	gara-kutannoo
determined	gara-kuteessa
tender hearted	gara-laafessa
determined	gara-mureessa
kind hearted	gara-toleessa
belly	garaa
to be patient	garaa baldhachuu
colic	garaa ciniinnaa
to have stomachache	garaa ciniinuu
an empty stomach	garaa duwwaa
constipation	garaa gogsaa
to constipate	garaa gogsuu
one who vacillates	garaa hirtuu
to vacillate	garaa hiruu
to be hard hearted	garaa jabaachuu
to be determined	garaa kutachuu
to be kind hearted	garaa laafuu
intestine	garaacha
same as mana konkolee	garaajii
one who vacillates	garaangaree
rote	garaatti qabachuu
concubinage	garaayyummaa
semi-desert	garadaala
overthrow	garagalcha
coup d'etat	garagalcha mootummaa
carbon copy	garagalchii
pedlar	garagalchituu
vice versa	garagalchoo
to overthrow	garagalchuu
inverse	garagaltoo
propeller	garagaltuu
rigid	garagambeessa
rigidity	garagambeessummaa
different	garagara
difference	garagarummaa
hereditary variation	garagarummaa dhaalmaa
class difference	garagarummaa gitaa
absolute deviation	garagarummaa gonkaa
daily range of temperature	garagarummaa hoo'iyyaa guyyaa
potential difference	garagarummaa kuufamaa
symmetric difference	garagarummaa walqixxee
cliquism	garanummaa
clique	garanuu
religious sect	garanuu amantii
passion	gararaasaa
header	gararraa
letter-head	gararraata
elevation	gararrallaa
headline	gararroo
sea	garba
Arabian Sea	Garba Arabaa
North Sea	Garba Boroo
stagnant body of water such as lakes and seas	garba ciisaa
Red Sea	Garba Diimaa
Mediterranean Sea	Garba Jiddugaleessa
deep sea	garba tujaba
landlocked	garba-dhablee
above sea level	garbaa ol
acacia albida	garbii
barley	garbuu
hall	gardaffoo
music-hall	gardaffoo muusiqaa
party	garee
bourgeois party	garee afkalaa
proletarian party	garee dafqaan-bulaa
clandestine party	garee dhoksaa
liberal party	garee durkii
a puppet party	garee jalakaattuu
Marxist-Leninist Party	garee Maarkisii-Leeninii
the Green Party	garee magariisaa
conservative party	garee rincicaa
nationalist party	garee sabaa
democratic party	garee walaabaa
competitor	gareertuu
tourist guide	gargaaraa imaltuu
medical assistant	gargaaraa waldhaanaa
helper	gargaaraa
aid	gargaarsa
foreign aid	gargaarsa alaa
emergency aid	gargaarsa ariitii
fellowship	gargaarsa barumsaa
old-age-assistance	gargaarsa duloomtotaa
first aid	gargaarsa duraa
social assistance	gargaarsa gamtaa
price support	gargaarsa gatii
development aid	gargaarsa misomaa
Aid for International Development	Gargaarsa Misooma Addun-yaalessaa
technical assistance	gargaarsa ogummaa
legal assistance	gargaarsa seeraa
helper	gargaartuu
copilot	gargaartuu balaliiftuu
consulting-room assistant	gargaartuu cirreessaa
tourist guide	gargaartuu imaltuu
to help	gargaaruu
impurity	garganjii
to separate	gargarbaasuu
innocence	gargummaa
semi-	gari-
semi-conductor	gari-dabarsaa
semi-circle	gari-golollee
semi-circular canal	gari-maagata
metalloid	gariin-sibiilaa
dualistic	garlamaawaa
to be dualist	garlamaawuu
biconcave	garlamboolee
ambiguous	garlamee
bilateral	garlamoo
duality	garlamummaa
half-life	garleeyyoo
excessive	garmalee
overpopulation	garmalee heddummina uummataa
semi-circle	garmarsaa
team	garoo
volley ball team	garoo kubbaa harkaa
football team	garoo kubbaa miilaa
basket ball team	garoo kubbaa tayee
colleague	garree
bass horn	garrii
speaker	garrisaa
contemporary	garroo
trilateral	garsadee
tripartite	garsadii
half-line	garsarara
half bat	garsuphee
faction	gartii
half	gartokkee
group	gartoo
blood group A	gartoo dhiiga A
blood group AB	gartoo dhiiga AB
blood group B	gartoo dhiiga B
blood group O	gartoo dhiiga O
blood group	gartoo dhiigaa
to collaborate	gartoomuu
supporter	gartuu
partisan	gartuu biyyaa
supporter of a revolution	gartuu warraaqsaa
semi-group	gartuuta
collaboration	garummaa
partner	garuu
particle	garxinnoo
to hoe	gasa'uu
bandage	gasaroo
triangular bandage	gasaroo rogsadee
roof	gasarree
container	gashaalee
orphan	gasharee
quotient	gashoo
intelligence quotient	gashoo sammuu
hoe	gasoo
refuse	gataa
waste deposal	gataa baraaxii
nuclear waste	gataa nuklaraa
industrial waste	gataa warshaa
to miscarry	gatachuu
waste product	gatamaa
staggering person	gatantaraa
to stagger	gatantaruu
miscarriage	gatata
shoulder	gateettii
worthless	gati-dhabeessa
expensive	gati-jabeessa
revaluation	gati-kaasa
cheap	gati-laafessa
valuable	gati-qabeessa
price dumping	gati-xinneessa
price	gatii
book value	gatii ammaa
to bring good price	gatii baasuu
regular price	gatii beekamaa
cost price	gatii bittaa
bargain	gatii buusisa
to bargain	gatii buusisuu
to devaluate	gatii cabsuu
fixed price	gatii dhaabataa
embarkation fee	gatii dhaabbii
rent	gatii dugdaa
cheap	gatii gaarii
market price	gatii gabaa
excessive price	gatii garmalee
sell-price	gatii gurgurtaa
labour cost	gatii humnaa
cost of living	gatii jireenyaa
to revalue	gatii kaasuu
free	gatii malee
publishing cost	gatii maxxansaa
to bankrupt	gatii nyaachuu
fluctuation	gatii oliigadii
gold price	gatii sabbuu
taxi fare	gatii taaksii
the price includes service charge	gatiin tajaajila wajjini
pointless	gatiin-qabnee
reduction of price	gatiirraa bu'ii
to reduce the price	gatiirraa bu'uu
to be unproductive	gawwaa'uu
unproductive land	gawwii
badlands	gawwituu
unproductivity	gawwummaa
eligible	gayeessa filannoo
grown-up person	gayeessa
maturity	gayeessummaa
segment	gayii
efficiency	gayiinsa
roost	gebexii
cup	geeba
African cup	geeba Afrikaa
national cup	geeba biyyaa
world cup	geeba biyyalafaa
silver cup	geeba meetaa
silver cup	geeba meetii
Oromian cup	geeba Oromiyaa
gold cup	geeba sabbuu
indian rubber	geebboo
respiratory tree	geed fiilaa
tree	geeda
deciduous tree	geeda baalarcaatuu
coniferous	geeda biilalaawaa
fruit-tree	geeda midhoo
change	geeddara
external change	geeddara aloo
exchange transfusion	geeddara dhiiga
internal change	geeddara keessoo
sex change	geeddara weennoo
change	geeddaraa
transformer	geeddaraa korreentii
change	geeddarama
cultural change	geeddarama aadaa
social change	geeddarama gamtaa
transformation of energy	geeddarama giidoo
chemical change	geeddarama kemikaalaa
physical change	geeddarama nafooyee
technological change	geeddarama ogummaa
phonetic change	geeddarama qoonqessii
evolutionary change	geeddarama tirannoo
New Year	geeddarama wagaa
variable	geeddaramaa
exchange	geeddarsa
transformer	geeddarsa korreentii
spare parts	geeddarsa meeshaa
alternation	geeddartii
crop rotation	geeddartii abuuraa
heat exchange	geeddartii hoo'inaa
one who exchanges	geeddartuu
to change	geeddaruu
woodland	geedoo
